OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,SendBy,Freight,ShipCountry
10277,MORGK,2,9/9/2018,10/7/2018,9/13/2018,5,125.77,Germany
10278,BERGS,8,9/12/2018,10/10/2018,9/16/2018,2,92.69,Sweden
10279,LEHMS,8,9/13/2018,10/11/2018,9/16/2018,2,25.83,Germany
10280,BERGS,2,9/14/2018,10/12/2018,10/13/2018,1,8.98,Sweden
10281,ROMEY,4,9/14/2018,9/28/2018,9/21/2018,1,2.94,Spain
10282,ROMEY,4,9/15/2018,10/13/2018,9/21/2018,1,12.69,Spain
10283,LILAS,3,9/16/2018,10/14/2018,9/23/2018,3,84.81,Venezuela
10284,LEHMS,4,9/19/2018,10/17/2018,9/27/2018,1,76.56,Germany
10285,QUICK,1,9/20/2018,10/18/2018,9/26/2018,2,76.83,Germany
10286,QUICK,8,9/21/2018,10/19/2018,9/30/2018,4,229.24,Germany
10287,RICAR,8,9/22/2018,10/20/2018,9/28/2018,3,12.76,Brazil
10288,REGGC,4,9/23/2018,10/21/2018,10/4/2018,1,7.45,Italy
10289,BSBEV,7,9/26/2018,10/24/2018,9/28/2018,3,22.77,UK
10290,COMMI,8,9/27/2018,10/25/2018,10/4/2018,1,79.7,Brazil
10291,QUEDE,6,9/27/2018,10/25/2018,10/5/2018,2,6.4,Brazil
10292,TRADH,1,9/28/2018,10/26/2018,10/3/2018,5,1.35,Brazil
10293,TORTU,1,9/29/2018,10/27/2018,10/12/2018,3,21.18,Mexico
10294,RATTC,4,9/30/2018,10/28/2018,10/6/2018,4,147.26,USA
10295,VINET,2,10/3/2018,10/31/2018,10/11/2018,2,1.15,France
10296,LILAS,6,10/4/2018,11/1/2018,10/12/2018,1,0.12,Venezuela
10297,BLONP,5,10/5/2018,11/16/2018,10/11/2018,2,5.74,France
10298,HUNGO,6,10/6/2018,11/3/2018,10/12/2018,2,168.22,Ireland
10299,RICAR,4,10/7/2018,11/4/2018,10/14/2018,2,29.76,Brazil
10300,MAGAA,2,10/10/2018,11/7/2018,10/19/2018,2,17.68,Italy
10301,WANDK,8,10/10/2018,11/7/2018,10/18/2018,2,45.08,Germany
10302,SUPRD,4,10/11/2018,11/8/2018,11/9/2018,2,6.27,Belgium
10303,GODOS,7,10/12/2018,11/9/2018,10/19/2018,2,107.83,Spain
10304,TORTU,1,10/13/2018,11/10/2018,10/18/2018,2,63.79,Mexico
10305,OLDWO,8,10/14/2018,11/11/2018,11/9/2018,3,257.62,USA
10306,ROMEY,1,10/17/2018,11/14/2018,10/24/2018,5,7.56,Spain
10307,LONEP,2,10/18/2018,11/15/2018,10/26/2018,5,0.56,USA
10308,ANATR,7,10/19/2018,11/16/2018,10/25/2018,5,1.61,Mexico
10309,HUNGO,3,10/20/2018,11/17/2018,11/23/2018,1,47.3,Ireland
10310,THEBI,8,10/21/2018,11/18/2018,10/28/2018,4,17.52,USA
10311,DUMON,1,10/21/2018,11/4/2018,10/27/2018,4,24.69,France
10312,WANDK,2,10/24/2018,11/21/2018,11/3/2018,4,40.26,Germany
10313,QUICK,2,10/25/2018,11/22/2018,11/4/2018,2,1.96,Germany
10314,RATTC,1,10/26/2018,11/23/2018,11/4/2018,2,74.16,USA
10315,ISLAT,4,10/27/2018,11/24/2018,11/3/2018,2,41.76,UK
10316,RATTC,1,10/28/2018,11/25/2018,11/8/2018,3,150.15,USA
10317,LONEP,6,10/31/2018,11/28/2018,11/10/2018,5,12.69,USA
10318,ISLAT,8,11/1/2018,11/29/2018,11/4/2018,2,4.73,UK
10319,TORTU,7,11/2/2018,11/30/2018,11/11/2018,3,64.5,Mexico
10320,WARTH,5,11/3/2018,11/17/2018,11/18/2018,3,34.57,Finland
10321,ISLAT,3,11/3/2018,12/1/2018,11/11/2018,2,3.43,UK
10322,PERIC,7,11/4/2018,12/2/2018,11/23/2018,3,0.4,Mexico
10323,KOENE,4,11/7/2018,12/5/2018,11/14/2018,5,4.88,Germany
10324,SAVEA,9,11/8/2018,12/6/2018,11/10/2018,1,214.27,USA
10325,KOENE,1,11/9/2018,11/23/2018,11/14/2018,3,64.86,Germany
10326,BOLID,4,11/10/2018,12/8/2018,11/14/2018,2,77.92,Spain
10327,FOLKO,2,11/11/2018,12/9/2018,11/14/2018,1,63.36,Sweden
10328,FURIB,4,11/14/2018,12/12/2018,11/17/2018,3,87.03,Portugal
10329,SPLIR,4,11/15/2018,12/27/2018,11/23/2018,2,191.67,USA
10330,LILAS,3,11/16/2018,12/14/2018,11/28/2018,1,12.75,Venezuela
10331,BONAP,9,11/16/2018,12/28/2018,11/21/2018,1,10.19,France
10332,MEREP,3,11/17/2018,12/29/2018,11/21/2018,2,52.84,Canada
10333,WARTH,5,11/18/2018,12/16/2018,11/25/2018,3,0.59,Finland
10334,VICTE,8,11/21/2018,12/19/2018,11/28/2018,4,8.56,France
10335,HUNGO,7,11/22/2018,12/20/2018,11/24/2018,5,42.11,Ireland
10336,PRINI,7,11/23/2018,12/21/2018,11/25/2018,2,15.51,Portugal
10337,FRANK,4,11/24/2018,12/22/2018,11/29/2018,3,108.26,Germany
10338,OLDWO,4,11/25/2018,12/23/2018,11/29/2018,3,84.21,USA
10339,MEREP,2,11/28/2018,12/26/2018,12/5/2018,2,15.66,Canada
10340,BONAP,1,11/29/2018,12/27/2018,12/9/2018,3,166.31,France
10341,SIMOB,7,11/29/2018,12/27/2018,12/6/2018,3,26.78,Denmark
10342,FRANK,4,11/30/2018,12/14/2018,12/5/2018,2,54.83,Germany
10343,LEHMS,4,12/1/2018,12/29/2018,12/7/2018,1,110.37,Germany
10344,WHITC,4,12/2/2018,12/30/2018,12/6/2018,2,23.29,USA
10345,QUICK,2,12/5/2018,1/2/2019,12/12/2018,5,249.06,Germany
10346,RATTC,3,12/6/2018,1/17/2019,12/9/2018,3,142.08,USA
10347,FAMIA,4,12/7/2018,1/4/2019,12/9/2018,3,3.1,Brazil
10348,WANDK,4,12/8/2018,1/5/2019,12/16/2018,2,0.78,Germany
10349,SPLIR,7,12/9/2018,1/6/2019,12/16/2018,1,8.63,USA
10350,LAMAI,6,12/12/2018,1/9/2019,1/3/2019,5,64.19,France
10351,ERNSH,1,12/12/2018,1/9/2019,12/21/2018,4,162.33,Austria
10352,FURIB,3,12/13/2018,12/27/2018,12/19/2018,3,1.3,Portugal
10353,PICCO,7,12/14/2018,1/11/2019,12/26/2018,3,360.63,Austria
10354,PERIC,8,12/15/2018,1/12/2019,12/21/2018,3,53.8,Mexico
10355,AROUT,6,12/16/2018,1/13/2019,12/21/2018,1,41.95,UK
10356,WANDK,6,12/19/2018,1/16/2019,12/28/2018,2,36.71,Germany
10357,LILAS,1,12/20/2018,1/17/2019,1/2/2019,3,34.88,Venezuela
10358,LAMAI,5,12/21/2018,1/18/2019,12/28/2018,1,19.64,France
10359,SEVES,5,12/22/2018,1/19/2019,12/27/2018,4,288.43,UK
10360,BLONP,4,12/23/2018,1/20/2019,1/2/2019,4,131.7,France
10361,QUICK,1,12/23/2018,1/20/2019,1/3/2019,4,183.17,Germany
10362,BONAP,3,12/26/2018,1/23/2019,12/29/2018,1,96.04,France
10363,DRACD,4,12/27/2018,1/24/2019,1/4/2019,3,30.54,Germany
10364,EASTC,1,12/27/2018,2/7/2019,1/4/2019,1,71.97,UK
10365,ANTON,3,12/28/2018,1/25/2019,1/2/2019,2,22,Mexico
10366,GALED,8,12/29/2018,2/9/2019,1/30/2019,2,10.14,Spain
10367,VAFFE,7,12/29/2018,1/26/2019,1/2/2019,3,13.55,Denmark
10368,ERNSH,2,12/30/2018,1/27/2019,1/2/2019,2,101.95,Austria
10369,SPLIR,8,1/2/2019,1/30/2019,1/9/2019,5,195.68,USA
10370,CHOPS,6,1/3/2019,1/31/2019,1/27/2019,5,1.17,Switzerland
10371,LAMAI,1,1/3/2019,1/31/2019,1/24/2019,5,0.45,France
10372,QUEEN,5,1/4/2019,2/1/2019,1/9/2019,4,890.78,Brazil
10373,HUNGO,4,1/5/2019,2/2/2019,1/11/2019,5,124.12,Ireland
10374,WOLZA,1,1/5/2019,2/2/2019,1/9/2019,3,3.94,Poland
10375,HUNGC,3,1/6/2019,2/3/2019,1/9/2019,2,20.12,USA
10376,MEREP,1,1/9/2019,2/6/2019,1/13/2019,2,20.39,Canada
10377,SEVES,1,1/9/2019,2/6/2019,1/13/2019,3,22.21,UK
10378,FOLKO,5,1/10/2019,2/7/2019,1/19/2019,3,5.44,Sweden
10379,QUEDE,2,1/11/2019,2/8/2019,1/13/2019,1,45.03,Brazil
10380,HUNGO,8,1/12/2019,2/9/2019,2/16/2019,3,35.03,Ireland
10381,LILAS,3,1/12/2019,2/9/2019,1/13/2019,3,7.99,Venezuela
10382,ERNSH,4,1/13/2019,2/10/2019,1/16/2019,1,94.77,Austria
10383,AROUT,8,1/16/2019,2/13/2019,1/18/2019,3,34.24,UK
10384,BERGS,3,1/16/2019,2/13/2019,1/20/2019,3,168.64,Sweden
10385,SPLIR,1,1/17/2019,2/14/2019,1/23/2019,2,30.96,USA
10386,FAMIA,9,1/18/2019,2/1/2019,1/25/2019,3,13.99,Brazil
10387,SANTG,1,1/18/2019,2/15/2019,1/20/2019,2,93.63,Norway
10388,SEVES,2,1/19/2019,2/16/2019,1/20/2019,1,34.86,UK
10389,BOTTM,4,1/20/2019,2/17/2019,1/24/2019,2,47.42,Canada
10390,ERNSH,6,1/23/2019,2/20/2019,1/26/2019,1,126.38,Austria
10391,DRACD,3,1/23/2019,2/20/2019,1/31/2019,3,5.45,Germany
10392,PICCO,2,1/24/2019,2/21/2019,2/1/2019,4,122.46,Austria
10393,SAVEA,1,1/25/2019,2/22/2019,2/3/2019,3,126.56,USA
10394,HUNGC,1,1/25/2019,2/22/2019,2/3/2019,3,30.34,USA
10395,HILAA,6,1/26/2019,2/23/2019,2/3/2019,1,184.41,Venezuela
10396,FRANK,1,1/27/2019,2/10/2019,2/6/2019,3,135.35,Germany
10397,PRINI,5,1/27/2019,2/24/2019,2/2/2019,1,60.26,Portugal
10398,SAVEA,2,1/30/2019,2/27/2019,2/9/2019,3,89.16,USA
10399,VAFFE,8,1/31/2019,2/14/2019,2/8/2019,3,27.36,Denmark
10400,EASTC,1,2/1/2019,3/1/2019,2/16/2019,3,83.93,UK
10401,RATTC,1,2/1/2019,3/1/2019,2/10/2019,1,12.51,USA
10402,ERNSH,8,2/2/2019,3/16/2019,2/10/2019,2,67.88,Austria
10403,ERNSH,4,2/3/2019,3/3/2019,2/9/2019,3,73.79,Austria
10404,MAGAA,2,2/3/2019,3/3/2019,2/8/2019,1,155.97,Italy
10405,LINOD,1,2/6/2019,3/6/2019,2/22/2019,1,34.82,Venezuela
10406,QUEEN,7,2/7/2019,3/21/2019,2/13/2019,5,108.04,Brazil
10407,OTTIK,2,2/7/2019,3/7/2019,3/2/2019,2,91.48,Germany
10408,FOLIG,8,2/8/2019,3/8/2019,2/14/2019,1,11.26,France
10409,OCEAN,3,2/9/2019,3/9/2019,2/14/2019,1,29.83,Argentina
10410,BOTTM,3,2/10/2019,3/10/2019,2/15/2019,3,2.4,Canada
10411,BOTTM,9,2/10/2019,3/10/2019,2/21/2019,3,23.65,Canada
10412,WARTH,8,2/13/2019,3/13/2019,2/15/2019,2,3.77,Finland
10413,LAMAI,3,2/14/2019,3/14/2019,2/16/2019,2,95.66,France
10414,FAMIA,2,2/14/2019,3/14/2019,2/17/2019,3,21.48,Brazil
10415,HUNGC,3,2/15/2019,3/15/2019,2/24/2019,1,0.2,USA
10416,WARTH,8,2/16/2019,3/16/2019,2/27/2019,3,22.72,Finland
10417,SIMOB,4,2/16/2019,3/16/2019,2/28/2019,3,70.29,Denmark
10418,QUICK,4,2/17/2019,3/17/2019,2/24/2019,4,17.55,Germany
10419,RICSU,4,2/20/2019,3/20/2019,3/2/2019,2,137.35,Switzerland
10420,WELLI,3,2/21/2019,3/21/2019,2/27/2019,5,44.12,Brazil
10421,QUEDE,8,2/21/2019,4/4/2019,2/27/2019,1,99.23,Brazil
10422,FRANS,2,2/22/2019,3/22/2019,3/3/2019,1,3.02,Italy
10423,GOURL,6,2/23/2019,3/9/2019,3/27/2019,3,24.5,Brazil
10424,MEREP,7,2/23/2019,3/23/2019,2/27/2019,2,370.61,Canada
10425,LAMAI,6,2/24/2019,3/24/2019,3/17/2019,2,7.93,France
10426,GALED,4,2/27/2019,3/27/2019,3/9/2019,1,18.69,Spain
10427,PICCO,4,2/27/2019,3/27/2019,4/3/2019,2,31.29,Austria
10428,REGGC,7,2/28/2019,3/28/2019,3/7/2019,1,11.09,Italy
10429,HUNGO,3,3/1/2019,4/12/2019,3/10/2019,2,56.63,Ireland
10430,ERNSH,4,3/2/2019,3/16/2019,3/6/2019,1,458.78,Austria
10431,BOTTM,4,3/2/2019,3/16/2019,3/10/2019,2,44.17,Canada
10432,SPLIR,3,3/3/2019,3/17/2019,3/10/2019,2,4.34,USA
10433,PRINI,3,3/6/2019,4/3/2019,4/4/2019,5,73.83,Portugal
10434,FOLKO,3,3/6/2019,4/3/2019,3/16/2019,2,17.92,Sweden
10435,CONSH,8,3/7/2019,4/18/2019,3/10/2019,2,9.21,UK
10436,BLONP,3,3/8/2019,4/5/2019,3/14/2019,2,156.66,France
10437,WARTH,8,3/8/2019,4/5/2019,3/15/2019,1,19.97,Finland
10438,TOMSP,3,3/9/2019,4/6/2019,3/17/2019,2,8.24,Germany
10439,MEREP,6,3/10/2019,4/7/2019,3/13/2019,3,4.07,Canada
10440,SAVEA,4,3/13/2019,4/10/2019,3/31/2019,2,86.53,USA
10441,OLDWO,3,3/13/2019,4/24/2019,4/14/2019,2,73.02,USA
10442,ERNSH,3,3/14/2019,4/11/2019,3/21/2019,2,47.94,Austria
10443,REGGC,8,3/15/2019,4/12/2019,3/17/2019,1,13.95,Italy
10444,BERGS,3,3/15/2019,4/12/2019,3/24/2019,4,3.5,Sweden
10445,BERGS,3,3/16/2019,4/13/2019,3/23/2019,1,9.3,Sweden
10446,TOMSP,6,3/17/2019,4/14/2019,3/22/2019,1,14.68,Germany
10447,RICAR,4,3/17/2019,4/14/2019,4/7/2019,2,68.66,Brazil
10448,RANCH,4,3/20/2019,4/17/2019,3/27/2019,2,38.82,Argentina
10449,BLONP,3,3/21/2019,4/18/2019,3/30/2019,2,53.3,France
10450,VICTE,8,3/22/2019,4/19/2019,4/11/2019,2,7.23,France
10451,QUICK,4,3/22/2019,4/5/2019,4/12/2019,3,189.09,Germany
10452,SAVEA,8,3/23/2019,4/20/2019,3/29/2019,1,140.26,USA
10453,AROUT,1,3/24/2019,4/21/2019,3/29/2019,2,25.36,UK
10454,LAMAI,4,3/24/2019,4/21/2019,3/28/2019,3,2.74,France
10455,WARTH,8,3/27/2019,5/8/2019,4/3/2019,5,180.45,Finland
10456,KOENE,8,3/28/2019,5/9/2019,3/31/2019,5,8.12,Germany
10457,KOENE,2,3/28/2019,4/25/2019,4/3/2019,1,11.57,Germany
10458,SUPRD,7,3/29/2019,4/26/2019,4/4/2019,3,147.06,Belgium
10459,VICTE,4,3/30/2019,4/27/2019,3/31/2019,2,25.09,France
10460,FOLKO,8,3/31/2019,4/28/2019,4/3/2019,1,16.27,Sweden
10461,LILAS,1,3/31/2019,4/28/2019,4/5/2019,3,148.61,Venezuela
10462,CONSH,2,4/3/2019,5/1/2019,4/18/2019,1,6.17,UK
10463,SUPRD,5,4/4/2019,5/2/2019,4/6/2019,3,14.78,Belgium
10464,FURIB,4,4/4/2019,5/2/2019,4/14/2019,4,89,Portugal
10465,VAFFE,1,4/5/2019,5/3/2019,4/14/2019,3,145.04,Denmark
10466,COMMI,4,4/6/2019,5/4/2019,4/13/2019,4,11.93,Brazil
10467,MAGAA,8,4/6/2019,5/4/2019,4/11/2019,2,4.93,Italy
10468,KOENE,3,4/7/2019,5/5/2019,4/12/2019,3,44.12,Germany
10469,WHITC,1,4/10/2019,5/8/2019,4/14/2019,1,60.18,USA
10470,BONAP,4,4/11/2019,5/9/2019,4/14/2019,2,64.56,France
10471,BSBEV,2,4/11/2019,5/9/2019,4/18/2019,3,45.59,UK
10472,SEVES,8,4/12/2019,5/10/2019,4/19/2019,1,4.2,UK
10473,ISLAT,1,4/13/2019,4/27/2019,4/21/2019,3,16.37,UK
10474,PERIC,5,4/13/2019,5/11/2019,4/21/2019,2,83.49,Mexico
10475,SUPRD,9,4/14/2019,5/12/2019,5/5/2019,1,68.52,Belgium
10476,HILAA,8,4/17/2019,5/15/2019,4/24/2019,3,4.41,Venezuela
10477,PRINI,5,4/17/2019,5/15/2019,4/25/2019,2,13.02,Portugal
10478,VICTE,2,4/18/2019,5/2/2019,4/26/2019,5,4.81,France
10479,RATTC,3,4/19/2019,5/17/2019,4/21/2019,3,708.95,USA
10480,FOLIG,6,4/20/2019,5/18/2019,4/24/2019,2,1.35,France
10481,RICAR,8,4/20/2019,5/18/2019,4/25/2019,2,64.33,Brazil
10482,LAZYK,1,4/21/2019,5/19/2019,5/11/2019,3,7.48,USA
10483,WHITC,7,4/24/2019,5/22/2019,5/26/2019,2,15.28,USA
10484,BSBEV,3,4/24/2019,5/22/2019,5/2/2019,3,6.88,UK
10485,LINOD,4,4/25/2019,5/9/2019,5/1/2019,2,64.45,Venezuela
10486,HILAA,1,4/26/2019,5/24/2019,5/3/2019,4,30.53,Venezuela
10487,QUEEN,2,4/26/2019,5/24/2019,4/28/2019,2,71.07,Brazil
10488,FRANK,8,4/27/2019,5/25/2019,5/3/2019,2,4.93,Germany
10489,PICCO,6,4/28/2019,5/26/2019,5/10/2019,2,5.29,Austria
10490,HILAA,7,5/1/2019,5/29/2019,5/4/2019,2,210.19,Venezuela
10491,FURIB,8,5/1/2019,5/29/2019,5/9/2019,3,16.96,Portugal
10492,BOTTM,3,5/2/2019,5/30/2019,5/12/2019,1,62.89,Canada
10493,LAMAI,4,5/3/2019,5/31/2019,5/11/2019,3,10.64,France
10494,COMMI,4,5/3/2019,5/31/2019,5/10/2019,2,65.99,Brazil
10495,LAUGB,3,5/4/2019,6/1/2019,5/12/2019,3,4.65,Canada
10496,TRADH,7,5/5/2019,6/2/2019,5/8/2019,2,46.77,Brazil
10497,LEHMS,7,5/5/2019,6/2/2019,5/8/2019,1,36.21,Germany
10498,HILAA,8,5/8/2019,6/5/2019,5/12/2019,2,29.75,Venezuela
10499,LILAS,4,5/9/2019,6/6/2019,5/17/2019,2,102.02,Venezuela
10500,LAMAI,6,5/10/2019,6/7/2019,5/18/2019,1,42.68,France
10501,BLAUS,9,5/10/2019,6/7/2019,5/17/2019,3,8.85,Germany
10502,PERIC,2,5/11/2019,6/8/2019,5/30/2019,1,69.32,Mexico
10503,HUNGO,6,5/12/2019,6/9/2019,5/17/2019,5,16.74,Ireland
10504,WHITC,4,5/12/2019,6/9/2019,5/19/2019,5,59.13,USA
10505,MEREP,3,5/15/2019,6/12/2019,5/22/2019,5,7.13,Canada
10506,KOENE,9,5/16/2019,6/13/2019,6/2/2019,2,21.19,Germany
10507,ANTON,7,5/16/2019,6/13/2019,5/23/2019,1,47.45,Mexico
10508,OTTIK,1,5/17/2019,6/14/2019,6/13/2019,2,4.99,Germany
10509,BLAUS,4,5/18/2019,6/15/2019,5/30/2019,4,0.15,Germany
10510,SAVEA,6,5/19/2019,6/16/2019,5/29/2019,3,367.63,USA
10511,BONAP,4,5/19/2019,6/16/2019,5/22/2019,3,350.64,France
10512,FAMIA,7,5/22/2019,6/19/2019,5/25/2019,2,3.53,Brazil
10513,WANDK,7,5/23/2019,7/4/2019,5/29/2019,1,105.65,Germany
10514,ERNSH,3,5/23/2019,6/20/2019,6/16/2019,2,789.95,Austria
10515,QUICK,2,5/24/2019,6/7/2019,6/23/2019,1,204.47,Germany
10516,HUNGO,2,5/25/2019,6/22/2019,6/1/2019,3,62.78,Ireland
10517,NORTS,3,5/25/2019,6/22/2019,5/30/2019,3,32.07,UK
10518,TORTU,4,5/26/2019,6/9/2019,6/5/2019,2,218.15,Mexico
10519,CHOPS,6,5/29/2019,6/26/2019,6/1/2019,3,91.76,Switzerland
10520,SANTG,7,5/30/2019,6/27/2019,6/1/2019,1,13.37,Norway
10521,CACTU,8,5/30/2019,6/27/2019,6/2/2019,2,17.22,Argentina
10522,LEHMS,4,5/31/2019,6/28/2019,6/6/2019,1,45.33,Germany
10523,SEVES,7,6/1/2019,6/29/2019,6/30/2019,2,77.63,UK
10524,BERGS,1,6/1/2019,6/29/2019,6/7/2019,2,244.79,Sweden
10525,BONAP,1,6/2/2019,6/30/2019,6/23/2019,2,11.06,France
10526,WARTH,4,6/5/2019,7/3/2019,6/15/2019,2,58.59,Finland
10527,QUICK,7,6/5/2019,7/3/2019,6/7/2019,4,41.9,Germany
10528,GREAL,6,6/6/2019,6/20/2019,6/9/2019,2,3.35,USA
10529,MAISD,5,6/7/2019,7/5/2019,6/9/2019,2,66.69,Belgium
10530,PICCO,3,6/8/2019,7/6/2019,6/12/2019,5,339.22,Austria
10531,OCEAN,7,6/8/2019,7/6/2019,6/19/2019,1,8.12,Argentina
10532,EASTC,7,6/9/2019,7/7/2019,6/12/2019,3,74.46,UK
10533,FOLKO,8,6/12/2019,7/10/2019,6/22/2019,1,188.04,Sweden
10534,LEHMS,8,6/12/2019,7/10/2019,6/14/2019,2,27.94,Germany
10535,ANTON,4,6/13/2019,7/11/2019,6/21/2019,1,15.64,Mexico
10536,LEHMS,3,6/14/2019,7/12/2019,7/7/2019,2,58.88,Germany
10537,RICSU,1,6/14/2019,6/28/2019,6/19/2019,1,78.85,Switzerland
10538,BSBEV,9,6/15/2019,7/13/2019,6/16/2019,3,4.87,UK
10539,BSBEV,6,6/16/2019,7/14/2019,6/23/2019,3,12.36,UK
10540,QUICK,3,6/19/2019,7/17/2019,7/14/2019,5,"1,007.64",Germany
10541,HANAR,2,6/19/2019,7/17/2019,6/29/2019,1,68.65,Brazil
10542,KOENE,1,6/20/2019,7/18/2019,6/26/2019,3,10.95,Germany
10543,LILAS,8,6/21/2019,7/19/2019,6/23/2019,2,48.17,Venezuela
10544,LONEP,4,6/21/2019,7/19/2019,6/30/2019,1,24.91,USA
10545,LAZYK,8,6/22/2019,7/20/2019,7/27/2019,2,11.92,USA
10546,VICTE,1,6/23/2019,7/21/2019,6/27/2019,3,194.72,France
10547,SEVES,3,6/23/2019,7/21/2019,7/3/2019,2,178.43,UK
10548,TOMSP,3,6/26/2019,7/24/2019,7/3/2019,2,1.43,Germany
10549,QUICK,5,6/27/2019,7/11/2019,6/30/2019,5,171.24,Germany
10550,GODOS,7,6/28/2019,7/26/2019,7/7/2019,3,4.32,Spain
10551,FURIB,4,6/28/2019,8/9/2019,7/7/2019,3,72.95,Portugal
10552,HILAA,2,6/29/2019,7/27/2019,7/6/2019,1,83.22,Venezuela
10553,WARTH,2,6/30/2019,7/28/2019,7/4/2019,2,149.49,Finland
10554,OTTIK,4,6/30/2019,7/28/2019,7/6/2019,3,120.97,Germany
10555,SAVEA,6,7/3/2019,7/31/2019,7/5/2019,3,252.49,USA
10556,SIMOB,2,7/4/2019,8/15/2019,7/14/2019,1,9.8,Denmark
10557,LEHMS,9,7/4/2019,7/18/2019,7/7/2019,2,96.72,Germany
10558,AROUT,1,7/5/2019,8/2/2019,7/11/2019,4,72.97,UK
10559,BLONP,6,7/6/2019,8/3/2019,7/14/2019,1,8.05,France
10560,FRANK,8,7/7/2019,8/4/2019,7/10/2019,1,36.65,Germany
10561,FOLKO,2,7/7/2019,8/4/2019,7/10/2019,2,242.21,Sweden
10562,REGGC,1,7/10/2019,8/7/2019,7/13/2019,1,22.95,Italy
10563,RICAR,2,7/11/2019,8/22/2019,7/25/2019,2,60.43,Brazil
10564,RATTC,4,7/11/2019,8/8/2019,7/17/2019,3,13.75,USA
10565,MEREP,8,7/12/2019,8/9/2019,7/19/2019,2,7.15,Canada
10566,BLONP,9,7/13/2019,8/10/2019,7/19/2019,1,88.4,France
10567,HUNGO,1,7/13/2019,8/10/2019,7/18/2019,1,33.97,Ireland
10568,GALED,3,7/14/2019,8/11/2019,8/9/2019,3,6.54,Spain
10569,RATTC,5,7/17/2019,8/14/2019,8/11/2019,1,58.98,USA
10570,MEREP,3,7/18/2019,8/15/2019,7/20/2019,3,188.99,Canada
10571,ERNSH,8,7/18/2019,8/29/2019,8/4/2019,3,26.06,Austria
10572,BERGS,3,7/19/2019,8/16/2019,7/26/2019,2,116.43,Sweden
10573,ANTON,7,7/20/2019,8/17/2019,7/21/2019,3,84.84,Mexico
10574,TRAIH,4,7/20/2019,8/17/2019,7/31/2019,2,37.6,USA
10575,MORGK,5,7/21/2019,8/4/2019,7/31/2019,1,127.34,Germany
10576,TORTU,3,7/24/2019,8/7/2019,7/31/2019,3,18.56,Mexico
10577,TRAIH,9,7/24/2019,9/4/2019,7/31/2019,2,25.41,USA
10578,BSBEV,4,7/25/2019,8/22/2019,8/25/2019,3,29.6,UK
10579,LETSS,1,7/26/2019,8/23/2019,8/4/2019,2,13.73,USA
10580,OTTIK,4,7/27/2019,8/24/2019,8/1/2019,3,75.89,Germany
10581,FAMIA,3,7/27/2019,8/24/2019,8/2/2019,1,3.01,Brazil
10582,BLAUS,3,7/28/2019,8/25/2019,8/14/2019,2,27.71,Germany
